Key,Category,Item,Household Goods Receipt /Shopping Category,StockCat,Type
BE,Accent Tables and Chairs,Bench,Chairs,Chairs,Regular
CT,Accent Tables and Chairs,Coffee Table,Tables,Tables,Regular
ET,Accent Tables and Chairs,End Table,Tables,Tables,Regular
FC,Accent Tables and Chairs,Folding Chair,Chairs,Chairs,Regular
NS,Accent Tables and Chairs,Night Stand,Tables,Tables,Regular
RK,Accent Tables and Chairs,Rocker,Chairs,Chairs,Regular
ST,Accent Tables and Chairs,Stools,Assorted Items,Stool,Regular
TV,Accent Tables and Chairs,TV Stand,Tables,Tables,Regular
XC,Accent Tables and Chairs,Accent Chair,Chairs,Chairs,Regular
XT,Accent Tables and Chairs,Accent Table,Tables,Tables,Regular
AR,"Dressers, Storage and Other Furniture",Armoire,Dresser,Dresser,Regular
BC,"Dressers, Storage and Other Furniture",Bookcase,Assorted Furniture,Bookcase,Regular
CB,"Dressers, Storage and Other Furniture",Cabinet,Assorted Furniture,Cabinet,Regular
DR,"Dressers, Storage and Other Furniture",Dresser,Dresser,Dresser,Regular
EC,"Dressers, Storage and Other Furniture",Entertainment Center,Assorted Furniture,Entertainment Center,Regular
HU,"Dressers, Storage and Other Furniture",2 Piece Hutch,Assorted Furniture,2 Piece Hutch,Regular
LF,"Dressers, Storage and Other Furniture",Large Furniture,Assorted Furniture,Large Furniture,Regular
SF,"Dressers, Storage and Other Furniture",Small Furniture,Assorted Furniture,Small Furniture,Regular
SS,"Dressers, Storage and Other Furniture",Standalone Shelves,Assorted Furniture,Standalone Shelves,Regular
,,,,,Regular
AC,Household Items,Air Conditioner,Large Appliances,,Regular
AP,Household Items,Kitchen Appliances,Kitchen Appliances,,Regular
BX,Household Items,Box Fans,Electrics,,Regular
FN,Household Items,Fan,Electrics,,Regular
LC,Household Items,Long Curtains,Boxes and Bags,Long Curtains,Regular
SC,Household Items,Short Curtains,Boxes and Bags,Short Curtains,Regular
,,,,,Regular
D4,Household Items,Dish Set for Four,Boxes and Bags,Dish Sets,Regular
D6,Household Items,Dish Set for Six,Boxes and Bags,Dish Sets,Regular
D8,Household Items,Dish Set for Eight,Boxes and Bags,Dish Sets,Regular
,,,,,Regular
EL,Household Items,Electronics,Electrics,,Regular
EX,Household Items,Extra Items,,,Regular
,,,,,Regular
LA,Household Items,Large Art,Assorted Items,Large Art,Regular
MR,Household Items,Mirror,Assorted Items,Mirror,Regular
OA,Household Items,Other small appliances,,Other small appliances,Regular
RG,Household Items,Rugs,Assorted Items,Rugs,Regular
VA,Household Items,Valances,Electrics,Valances,Regular
,,,,,Regular
GL,Infant and Toddlers,Glider,Chair,Glider,Regular
IT,Infant and Toddlers,Item for Infants and Toddlers,Baby Furniture or Small Baby Items,Infant and Toddlers,Regular
,,,,,Regular
FB,"King, Queen, Full Beds",Full Box Spring,Beds,Box Spring,Fast Mover
FF,"King, Queen, Full Beds",Full Bed Frame,Beds,Bed Frame,Fast Mover
FM,"King, Queen, Full Beds",Full Mattress,Beds,Mattress,Fast Mover
KB,"King, Queen, Full Beds",King Box Spring,Beds,Box Spring,Fast Mover
KF,"King, Queen, Full Beds",King Bed Frame,Beds,Bed Frame,Fast Mover
KM,"King, Queen, Full Beds",King Mattress,Beds,Mattress,Fast Mover
QB,"King, Queen, Full Beds",Queen Box Spring,Beds,Box Spring,Fast Mover
QF,"King, Queen, Full Beds",Queen Bed Frame,Beds,Bed Frame,Fast Mover
QM,"King, Queen, Full Beds",Queen Mattress,Beds,Mattress,Fast Mover
XFB,"King, Queen, Full Beds",XL Full Box Spring,Beds,Box Spring,Fast Mover
XFF,"King, Queen, Full Beds",XL Full Bed Frame,Beds,Bed Frame,Fast Mover
XFM,"King, Queen, Full Beds",XL Full Mattress,Beds,Mattress,Fast Mover
BB,Twin Beds,Bunk Bed,Beds,Bunk Bed,Fast Mover
TB,Twin Beds,Twin Box Spring,Beds,Box Spring,Fast Mover
TF,Twin Beds,Twin Bed Frame,Beds,Bed Frame,Fast Mover
TM,Twin Beds,Twin Mattress,Beds,Mattress,Fast Mover
XTB,Twin Beds,XL Twin Box Spring,Beds,Box Spring,Fast Mover
XTF,Twin Beds,XL Twin Bed Frame,Beds,Bed Frame,Fast Mover
XTM,Twin Beds,XL Twin Mattress,Beds,Mattress,Fast Mover
,,,,,Regular
,,,,,Regular
K2,Kitchen and Dining Tables and Chairs,Set of Two Kitchen Chairs,Chairs,Kitchen Chair,Regular
K4,Kitchen and Dining Tables and Chairs,Set of Four Kitchen Chairs,Chairs,Kitchen Chair,Regular
K6,Kitchen and Dining Tables and Chairs,Set of Six Kitchen Chairs,Chairs,Kitchen Chair,Regular
KC,Kitchen and Dining Tables and Chairs,Kitchen Chair,Chairs,Kitchen Chair,Regular
KT,Kitchen and Dining Tables and Chairs,Kitchen Table,Chairs,Kitchen Table,Regular
,,,,,Regular
LMICRO,Kitchen Items,Large Microwave,Kitchen Appliances,Appliances,Regular
MICRO,Kitchen Items,Microwave,Kitchen Appliances,Appliances,Regular
SMICRO,Kitchen Items,Small Microwave,Kitchen Appliances,Appliances,Regular
,,,,,Regular
FL,Lamps,Floor Lamp,Electrics,Lamp,Regular
LM,Lamps,Table Lamp,Electrics,Lamp,Regular
TL,Lamps,Table Lamp,Electrics,Lamp,Regular
DL,Lamps,Desk Lamp,Electrics,Lamp,Regular
,,,,,Regular
CO,Living Room,Couches,Couches,Couch,Regular
FU,Living Room,Futon,Couches,Couch,Regular
LR,Living Room,Living Room Chair,Chair,Living Room Chair,Regular
OT,Living Room,Ottoman,Other Items,Ottoman,Regular
RC,Living Room,Recliner,Chair,Living Room Chair,Regular
RK,Living Room,Rocker,Chair,Living Room Chair,Regular
SB,Living Room,Sofa Bed,Couches,Couch,Regular
SC,Living Room,Sectional,Couches,Couch,Regular
,,,,,
Towels,Household Items,,,Towels,
Sheets,Household Items,,,Sheets,
Baking,Kitchen Items,,,Baking Dishes,
Bathitems,Household Items,,,Bathroom Items,
Cleaning,Household Items,,,Cleaning Supplies,
COOKINGUTENSILS,Kitchen Items,,,Cooking Utensils,
EXTRAMUGS,Kitchen Items,,,Extra Mugs,
EXTRAPLATESGLASSES,Kitchen Items,,,Extra Plates and Glasses,
Flatware,Kitchen Items,,,Flatware,
Hangers,Kitchen Items,,,Hangers,
POTSPANS,Kitchen Items,,,Pots and Pans,
Comforters,Household Items,,,Comforters,
Decorative Glass,Kitchen Items,,,Decorative Glass,
Glasses,Kitchen Items,,,Glasses,
CONTAINERS,Kitchen Items,,,Storage,
ALCLOCK,Appliances,Alarm Clock,,Alarm Clock,
BEDPILLOW,Household Items,Bed Pillows,,Bed Pillows,
BLENDER,Appliances,Blender,,Blender,
COFFEE,Appliances,Coffee Maker,,Coffee Maker,
C0-0716-01,Living Room,Couch,,Couch,
JBE-0623-01,Kitchen and Dining Tables and Chairs,Counter Height Bench,,Counter Height Bench,
DECGLASS,Kitchen Items,Decorative Glass,,Decorative Glass,
SKU-0716-06,Lamps,Desk Lamp,,Desk Lamp,
DISHRACK,Kitchen Items,Dish Rack,,Dish Rack,
EGRILL,Kitchen Items,Electric Grill,,Electric Grill,
FFAN,Household Items,Floor Fan,,Floor Fan,
HMIXER,Appliances,Hand Mixer (Copy),,Hand Mixer (Copy),
IBLEND,Appliances,Immersion Blender,,Immersion Blender,
IRON,Household Items,Iron,,Iron,
KCOF,Appliances,Keurig Coffee Maker,,Keurig Coffee Maker,
NKM-0812-01,"King, Queen, Full Beds",King Mattress,,King Mattress,
LCOF,Appliances,Large Coffee Maker,,Large Coffee Maker,
LCROCK,Appliances,large crockpot,,large crockpot,
LFOODPROC,Appliances,Large Food Processor,,Large Food Processor,
LGTV,Appliances,Large TV,,Large TV,
PLASTICDISH,Household Items,Plastic Dishes,,Plastic Dishes,
POWER,,Power Strip,,,
a F-0815-02,,Queen Bed Frame,,,
SE-0817-01,,Sectional Couch for Five or More,,,
SERVING,Kitchen Items,Serving Dishes,,Serving Dishes,
C-0813-07,,Set of 2 Kitchen Chairs,,,
PSEW,,Sewing Machine,,,
SR-0807-01,,Side Table,,,
SCOF,Appliances,Small Coffee Maker,,Small Coffee Maker,
SCROCK,Appliances,small crockpot,,small crockpot,
SFAN,,Small Fan,,,
SFOODPROC,Appliances,Small Food Processor,,Small Food Processor,
SMTV,,Small TV,,,
HEATER,,Space Heater,,,
SPECBAKE,Kitchen Items,Specialty Baking Set,,Specialty Baking Set,
NKB-0812-01,,Split Narrow King Box Spring,,,
SMIXER,Appliances,Stand Mixer,,Stand Mixer,
TBFAN,,Table Fan,,,
SKU-0716-03,,Table Lamp,,,
TEASET,Kitchen Items,Tea Set,,Tea Set,
SE-0729-01,,Three Piece Sectional,,,
THROWBLANKETS,Household Items,Throw Blankets,,Throw Blankets,
TOASTER,Appliances,Toaster,,Toaster,
TOVEN,Appliances,Toaster Oven,,Toaster Oven,
TF -0806-09,,Twin Bed Frame,,,
I?T-0820-11,,Two-Step Toddler Stool,,,
VAC,Household Items,Vacuum Cleaner,,Vacuum Cleaner,
WNFAN,,Window Fan,,,
I?T-0820-07,,Wooden High Chairs,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,